symbol	globalScore
TP63	0.266097495
CHN1	0.266097495
RRM2B	0.266097495
EDN3	0.266097495
PBX3	0.262942867
DYNC1I1	0.259962454
STX4	0.258705898
DHFR	0.258705898
CCNG1	0.257453608
AGO2	0.25446061
TTC28	0.253634981
ADARB2	0.248320608
FTO	0.247404659
FXYD5	0.246831341
SHC2	0.242783738
PHLDB1	0.24177198
MAPK6	0.239972333
ABLIM3	0.237411918
TMTC2	0.236332868
ENOX1	0.234702171
THOC1	0.231356989
PSMC3	0.230987409
WDR3	0.225893829
FBXO2	0.224361442
NFKBIA	0.224123891
BAIAP2L2	0.2214502
SPIRE2	0.220423103
CNTLN	0.215175071
DHRS7	0.213706772
GNAT3	0.210756383
DGLUCY	0.207981629
ATP11B	0.205788374
FARP1	0.202477346
CRIP3	0.201905617
FOXN1	0.200834095
TINAG	0.19845198
OXR1	0.193088843
CABP1	0.192016633
AKAP12	0.191594519
NUMA1	0.188803162
ACAN	0.188761051
ADNP2	0.187184731
TOP2B	0.185344297
NLRP12	0.184789927
SPATC1L	0.184789927
PISD	0.184789927
MORC2	0.184789927
MYO1A	0.183962905
ISG20	0.183217522
CCDC17	0.183121842
BNC2	0.182804307
NUDCD2	0.178225349
CD36	0.177645829
GAS1	0.17691201
PSAP	0.17162482
EML6	0.168806128
POM121L12	0.168453109
DLC1	0.165104651
NSD1	0.163998613
DVL2	0.163458285
GJB4	0.160972559
IPP	0.160562697
MAST2	0.159249094
ZNF318	0.155269222
ACADVL	0.154878642
EXOC6	0.15326695
GPR68	0.15308835
XYLT1	0.151140442
CIMAP1D	0.149278925
ANKRA2	0.148591915
B3GNT4	0.147831942
KRTAP10-1	0.147831942
AEN	0.146898061
CLSTN2	0.14586171
MAP3K1	0.143964191
PCNX4	0.143466409
QDPR	0.141021854
ABCC10	0.14048646
AFAP1L1	0.139838189
GGPS1	0.138592446
SPAG17	0.138231252
BTBD3	0.138089178
HMMR	0.136489026
PTK2	0.134144792
LPCAT2	0.1341401
GABRA1	0.133972697
CD96	0.133370647
RNF144B	0.132966916
ASXL1	0.130377385
ATOH1	0.129300843
ELP5	0.128740992
SLC7A8	0.124641513
MYO1H	0.124318932
C8orf48	0.12396611
ZBED2	0.123513486
SAMD12	0.123062471
SLC4A10	0.120384051
SCN8A	0.120038202
FAM107B	0.120014471
TMEM145	0.120014471
NEK5	0.120014471
