symbol	globalScore
ADA	0.891012033663
RAG1	0.884138728822
ATM	0.876995230355
RAG2	0.87320078487
IL2RG	0.86268851251
DCLRE1C	0.862174398431
JAK3	0.860600256111
TERT	0.858817407571
WAS	0.849473409365
RAC2	0.843484546671
LIG4	0.838509456973
RTEL1	0.837078167864
IL7R	0.833246720368
FOXN1	0.829365589001
NHEJ1	0.824907956024
PTPRC	0.821229185912
ZAP70	0.820593976678
MAGT1	0.816348820547
STIM1	0.811229706458
CARMIL2	0.810834876827
AK2	0.809394570245
IKBKB	0.805276080103
CD247	0.803148577817
CARD11	0.798596395423
PARN	0.79737307824
CD3D	0.796556142718
CORO1A	0.795904590275
ORAI1	0.795108472352
CD3E	0.793165130825
MALT1	0.787540904114
CD3G	0.780322688772
LCK	0.777692684006
STK4	0.774807817403
TAP1	0.767793440727
PRKDC	0.766953606657
CIITA	0.764366072411
MSN	0.754361803756
RFX5	0.752626687623
CTPS1	0.727565315324
LAT	0.727279820369
SFTPA2	0.725150565464
CD70	0.71894228759
GINS1	0.715844460967
TAP2	0.711674406679
PNP	0.70408831368
BCL11B	0.697805556887
TRAC	0.686307563955
PGM3	0.678686833474
MUC5B	0.667975991016
C11orf65	0.664966708237
RFXANK	0.664956440416
TAPBP	0.659023016862
PIK3CD	0.658791764369
WIPF1	0.658537846547
RFXAP	0.653179252067
DSP	0.636863195482
NAF1	0.616159827631
NR1H4	0.611092672484
CD27	0.608894462746
PDGFRB	0.605872630881
FLT1	0.600084642386
PDGFRA	0.59973551753
FGFR1	0.598996298042
DOCK8	0.598975163002
FGFR2	0.597825903983
FGFR4	0.596800227324
FGFR3	0.595900608361
KDR	0.594882697916
FLT4	0.590670026806
NR3C1	0.590516792022
STAT5B	0.587156289063
PKIG	0.586988294342
PSMB9	0.583297662521
CD4	0.578666588441
SYK	0.577222830308
RPA1	0.572495392542
TTC7A	0.571545140657
FAM13A	0.570840281199
PPARD	0.564656871013
CHD7	0.559848920292
RMRP	0.555676709773
IL2RA	0.548432512685
PPARA	0.546338544436
POT1	0.538678697697
TNFRSF4	0.536125365433
SPDL1	0.531600168491
IL12A	0.525604202448
ZCCHC8	0.523862310907
TNFRSF1A	0.519120231042
MAP3K14	0.515479736773
COX4I2	0.514164792173
MUC5AC	0.51129643023
IL12RB2	0.509555644
TBX1	0.505152900928
KNSTRN	0.499879852202
NOP10	0.494654917006
ACTRT3	0.489967976745
TNFSF15	0.488407848372
RASGRP1	0.487051779669
STAT1	0.48703897802
ICOS	0.485794861428
ITK	0.485644585384
IL21R	0.485347499084
PIK3R1	0.485220784848
CTLA4	0.483608685352
DENND1B	0.48167919456
POLD1	0.481141526511
NUDCD3	0.480172808887
LCT	0.478126698985
NFKB1	0.475735666511
BLM	0.474332264781
MTHFD1	0.473986077324
IRF4	0.473016033296
CD58	0.469805723891
HPS1	0.466876348305
SPIB	0.464626675305
MYSM1	0.464395053099
RECQL4	0.464256460653
POU2AF1	0.464084180382
TCN2	0.463225560703
CDCA7	0.461974818356
ARID1B	0.454583221262
NAB1	0.453477407521
IFNGR1	0.450102293369
IFNGR2	0.44849670303
EXOC3L4	0.447947325876
CD226	0.447747799866
TYK2	0.444469465047
ARPC1B	0.443071649399
TMEM163	0.442154790184
SYNGR1	0.442016414824
RHOH	0.438377242305
TIMMDC1	0.437642022115
IRF5	0.429050957281
IL12B	0.428541318803
KANSL1	0.426999772743
BRAF	0.425386412742
STAT4	0.424971818649
MANBA	0.420739676045
LRBA	0.420256633264
TPP2	0.416146916375
TNFSF11	0.416022565899
PLCL2	0.415722019676
DPP9	0.415200978391
NR2C2AP	0.415179034975
SASH3	0.408393321219
ABCA3	0.405564736902
AKAP13	0.404291053193
TNFRSF6B	0.401779621277
RAD51B	0.397652267294
ELMO1	0.396623790536
NFKBIA	0.395689145337
PSMB10	0.39426217931
DOCK2	0.393931364021
NCKAP1L	0.393188260705
IL7	0.39159035343
ANK1	0.391361785767
PPARG	0.388410039427
RIN3	0.385745086367
SFTPC	0.384463306291
PTGIR	0.38431051946
EDNRB	0.377818091343
ITPR3	0.3767302803
AP3B1	0.374156043761
EDNRA	0.374080212042
NBAS	0.373866464551
TOLLIP	0.373624939284
IKZF2	0.37325957814
ARPC5	0.371227433401
INO80	0.370503804321
NKX2-1	0.370503804321
FKBP15	0.369579854685
RAI1	0.369579854685
RSPH4A	0.369579854685
IKZF1	0.366308910802
CCR6	0.355785394117
CLEC16A	0.355357496821
DEPTOR	0.354221343471
MCM6	0.353546193126
MR1	0.35285437156
DHFR	0.352127472658
FUT3	0.352082710525
TSPYL6	0.351066502448
FSIP2	0.349698423919
TFRC	0.348561552202
ENPP2	0.347515056503
PPIA	0.344698189523
SOCS1	0.344271899017
WDFY4	0.341616370012
PHLDB1	0.337953475991
BAK1	0.337703567546
CCDC127	0.336507878551
NPAT	0.33446976849
HS3ST4	0.334188804183
TJP2	0.333545818853
ZBTB25	0.332621869216
ADAMTS8	0.330697809761
TAGAP	0.330578260136
ACSL5	0.33048366287
CCN2	0.330114711864
COL4A4	0.328827002427
MYNN	0.328766279918
FIGNL1	0.328676678742
DNMT3A	0.326460930539
C1orf141	0.32608344098
ZC3H12C	0.325742143619
MFSD6	0.32443933075
IL21	0.323909833896
TRIO	0.32372122975
ICOSLG	0.322712736788
FMN1	0.322482986067
ETS1	0.318590945608
IL17B	0.318563296063
TET2	0.317002802207
MTMR9	0.3156376411
GPR157	0.310341198426
RGS1	0.308384765628
DPEP2	0.308000417551
LMNB1	0.307813121487
SPPL2C	0.30613457736
PTPN2	0.306125438536
TMX3	0.305759542229
BRWD1	0.305673338145
ELF3	0.305348002505
TTC9	0.305283414427
LRRC34	0.30527493292
GPLD1	0.304837862427
CD80	0.303631300595
LPP	0.302463281302
RFC3	0.300644439615
MUC6	0.300573719405
SFRP1	0.300533496384
CYRIA	0.299910928763
PRKCB	0.298632524317
MAPT	0.298406184873
LZTS1	0.297946281031
FAM177A1	0.297071911776
LIMD1	0.295263869427
FABP7	0.295243414303
ADGRB3	0.29470812999
EFHB	0.293587443129
MTHFD1L	0.292083985995
TNFAIP2	0.291381916012
ATP4A	0.29068351892
NTM	0.288673900414
CYSLTR1	0.287727156368
IVD	0.284789846573
GUCY1A1	0.283344555258
GUCY1A2	0.283344555258
GUCY1B1	0.283344555258
PTPN14	0.282760833529
E2F6	0.282516469426
SLC12A1	0.281291333843
PDE5A	0.280899713659
IL16	0.280797360145
CAPN7	0.280211565004
ASB15	0.277416610656
ATP4B	0.277184891014
CACNA2D3	0.277002956179
UNC93B1	0.275757978801
TTC34	0.275712873558
CDYL2	0.275472051315
NSF	0.275472051315
CDRT15	0.274283229759
PON1	0.273251825651
TMEM42	0.27284179987
RARB	0.271507427098
OASL	0.270231345949
PLCB1	0.270069699524
CAPSL	0.26846461034
MPDZ	0.26758417723
SLC37A4	0.267382378521
PKLR	0.266942352481
ULK4	0.266381808039
ATXN2	0.266175815792
MCFD2	0.266097495373
PIEZO2	0.266097495373
RSPH9	0.266097495373
SALL4	0.266097495373
STN1	0.265370590001
ZMYND8	0.26417184721
MECOM	0.263358019805
CFAP95	0.26299174901
CHRNA5	0.262957670648
TFPI	0.262828639429
CPE	0.262326911057
COPB1	0.260369007625
PCSK5	0.260265171672
VWA7	0.259549768714
STH	0.259467535756
NRXN3	0.259264827469
CACNA1A	0.259260268061
OPRM1	0.258705898279
SLC9A6	0.258705898279
TUBA1A	0.258705898279
TUBA1B	0.258705898279
TUBA1C	0.258705898279
TUBA3C	0.258705898279
TUBA3E	0.258705898279
TUBA4A	0.258705898279
TUBB	0.258705898279
TUBB1	0.258705898279
TUBB2A	0.258705898279
TUBB2B	0.258705898279
TUBB3	0.258705898279
TUBB4A	0.258705898279
TUBB4B	0.258705898279
TUBB6	0.258705898279
TUBB8	0.258705898279
ABCA4	0.258193220498
EFNA5	0.256735990096
PRDM11	0.255516714341
DNAJC1	0.254969477973
DAP3	0.253766161549
EBLN1	0.253479238045
PLOD2	0.252650148232
TNP2	0.252542270188
CNTNAP2	0.251954170779
DLG2	0.251954170779
SORCS2	0.251954170779
IRF8	0.251630920779
SCHIP1	0.249721321143
CD28	0.248878847825
PCSK6	0.248863444077
PKD1L1	0.247495765024
COBL	0.247382493573
CEMIP	0.246794286396
PKNOX2	0.246175079815
CSNK2A3	0.244497794399
OXTR	0.244360776035
IRX2	0.244009082716
NKAIN2	0.242814539212
RALYL	0.242814539212
FER	0.242755524389
ANP32B	0.235558113657
GRIK4	0.235378913844
ACTBL2	0.23345171962
UNC79	0.232178742002
KLHL25	0.231588588266
ATP11A	0.229740765635
CEP128	0.228399722642
CEP44	0.227726151818
PCMTD1	0.227399312352
MBD5	0.226205908833
MAD1L1	0.225976645781
PKD1	0.224191296453
ATP8A2	0.223082706066
CTSC	0.223070181442
RIPOR2	0.219613034521
SH2B3	0.219102635366
AK8	0.218692720497
TAOK3	0.218692720497
KREMEN1	0.218022458732
PDGFB	0.216404049338
DSEL	0.216367858094
SERPING1	0.21528696538
NFAT5	0.214807511787
FUT6	0.212887173092
PRM3	0.209587448157
VDR	0.208353514551
GIMAP5	0.205476038912
CHRM3	0.204007660889
RHBDF2	0.20060763531
ZC3HAV1	0.200264583693
DCDC2C	0.199278892435
CDH7	0.199240562539
ENSG00000293569	0.199029264856
ARL14	0.198876080825
MKLN1	0.198112934531
GLS	0.197265605387
OR10J4	0.195976705795
SNRPF	0.195409841877
LMO4	0.193050923141
TMEM218	0.192992811494
DIO3	0.192412977443
WDR11	0.191758566809
PHF14	0.191669566963
KIF15	0.191586182937
MAGEB16	0.191074268019
HDDC2	0.190142961685
MUC1	0.189407265377
POLD3	0.187194146958
VRK1	0.186924329813
CCDC88B	0.186237487915
CBLB	0.185947049633
CCND1	0.184380803508
KCNIP4	0.182160776582
GALNTL6	0.180080372653
SPIDR	0.178813250169
PDE1C	0.177084395622
SPANXB1	0.176636417472
ZC3HAV1L	0.17632120113
GSDMB	0.176261433166
PROX1	0.17608204769
PLEKHM1	0.175516713425
RASSF7	0.174932491369
CCDC73	0.171389498257
MYT1L	0.169834780394
MMP1	0.167614246007
CPM	0.167150189713
SLC30A5	0.166671870058
PBX1	0.165657317358
CPSF6	0.165332570793
MUC2	0.165261303063
ANK2	0.164387066802
NDST4	0.164161504175
SGO1	0.162945356047
NAP1L5	0.162708349522
SCT	0.16187844608
DDX6	0.161614856353
AGBL1	0.159669691933
CIMIP6	0.157859099984
KPNA4	0.157783086653
FADS6	0.157560820697
MMP7	0.157513934428
CCR3	0.157200057071
CXCL14	0.156439309057
TINF2	0.154280312604
FAM78B	0.153933336599
OLIG3	0.1535059913
ZNF703	0.152558262589
DKC1	0.152317667713
FOXP1	0.152057543207
IRX4	0.15128066547
MMP8	0.149747538423
BORCS8	0.149616191283
IGLL5	0.149505108622
AGXT	0.148940681438
IFTAP	0.14865323044
ADAMTS20	0.147957232171
C8G	0.147831941874
SFTPA1	0.144317879223
BMP1	0.143059010025
TNFAIP3	0.142714175993
CACNA1S	0.142227749785
CCR1	0.140467559447
STARD3	0.14043123416
INPP5D	0.14030005455
MMP13	0.139393755033
IL13	0.1375937778
TRIM46	0.135859287102
ZKSCAN1	0.135257586997
GPBP1	0.135177274669
SCN2A	0.13489664696
ORMDL3	0.134214458692
CDHR5	0.133928383668
TGFB1	0.132799007459
VKORC1	0.131755218195
MMP19	0.131482341493
PSKH1	0.131045310981
ZFYVE26	0.130328831072
GPAM	0.127030199287
TNF	0.125691382495
FASLG	0.125013022415
ARID3A	0.123522086288
DEFA4	0.123482889436
KNL1	0.122388326327
HS3ST3B1	0.121402015767
KIF16B	0.121267795044
PTPRU	0.12080969225
RAB5A	0.120798121644
SMPDL3A	0.120798121644
FAM111B	0.120604266718
IL1RN	0.120274390226
EML2	0.120251667294
CLEC2D	0.119924960001
TXNDC15	0.119189503136
VDAC2	0.119189503136
SFTPD	0.118612776764
ALDH4A1	0.118265553499
CCDC8	0.118265553499
CTR9	0.118265553499
CYBB	0.118265553499
DNAH8	0.118265553499
EFL1	0.118265553499
KDM2B	0.118265553499
KIF7	0.118265553499
PIBF1	0.118265553499
RBPJ	0.118265553499
TNNI3	0.118265553499
IKZF3	0.117973043044
RNF26	0.117776426135
CD274	0.117653084125
UGT3A1	0.117321510824
ADAMTS15	0.117146825428
PRM2	0.116330149936
SPP1	0.116182148057
CHI3L1	0.115881642809
IL4	0.1158697747
CSF3	0.115849996319
KLB	0.115062528092
CTC1	0.114739145719
SLC10A2	0.114723952514
POSTN	0.114503899544
PIK3CA	0.114479740186
PIK3CG	0.114473351097
PIK3CB	0.11447328709
DPP4	0.114337483664
DAPK1	0.114148578563
FOXF1	0.113698007393
LGALS3	0.113435143113
HPS4	0.11298350994
ACE2	0.112971982709
RTKN2	0.112721855679
LAMA3	0.112214350676
MTOR	0.111709308334
PTGS2	0.111700798349
RPL17	0.11163782488
DTNBP1	0.111400094393
PTAR1	0.111223831257
NEDD4L	0.111067607586
FBXO8	0.110667802608
ITGAV	0.109498525902
PTEN	0.1090767419
IL33	0.108847934461
AKT1	0.108772349585
MPO	0.108271962
S100A9	0.107862811925
MPL	0.107857964754
SIRT1	0.107690817773
CCL2	0.10765754495
CXCL8	0.107563329977
HOXD13	0.10739123296
SLC34A2	0.107336034295
NOX4	0.106741564686
FOXO3	0.106714616758
TNFSF8	0.10654088756
CTSD	0.10629882978
MS4A1	0.106061379795
YAP1	0.105313252673
AICDA	0.105212097
MMEL1	0.105095398535
SERPINE1	0.105049891479
OLFM1	0.104982249122
COX7A2L	0.104459243416
EP300	0.104450409849
ADRB2	0.104415411272
C3	0.104164814034
ROPN1L	0.104124084658
ATG5	0.104110304728
TMPRSS11D	0.104103122613
A1CF	0.104099393154
ASIP	0.104099393154
ASPA	0.104099393154
ASPM	0.104099393154
DIO2	0.104076255983
RPS6KA4	0.103993233635
YY1AP1	0.103829904854
CRP	0.103611294749
AP2B1	0.103537673758
PEX12	0.103537673758
HLA-DRB5	0.103296541731
S100A4	0.103244916355
CRBN	0.102743199602
CD19	0.102631835029
SH2D1A	0.102538153479
FGF19	0.102486643
IL11	0.102354218181
VAV1	0.102231425213
CAV1	0.102129135758
CXCR4	0.102117969968
ICAM1	0.101952945574
NTN4	0.101895898567
HDAC3	0.101800636974
ITGB6	0.101569168653
ZPBP2	0.101460820427
CD8A	0.101286982555
PDCD1	0.101215268721
SMO	0.101110169726
LOX	0.100987986203
FNIP1	0.100961013609
BMP4	0.100924831839
HDAC9	0.100752819331
FGF1	0.100607849331
ADGRF4	0.100311849523
IGHM	0.0998198191226
NFKB2	0.0997494990092
TIMP1	0.0996976381614
SP100	0.0995983670128
REL	0.0994755640736
TNFRSF13C	0.099376382307
WFDC2	0.0993763023796
TNFSF13B	0.098997816555
BTK	0.0989770654429
IL17A	0.0989094804972
IL5RA	0.0989071183713
SPTBN1	0.0988971349097
IL22	0.0987792861727
CR2	0.0987598060918
GDF15	0.0986838847849
SPPL2A	0.0983463850227
BACH2	0.0981179319341
CALCA	0.0980041211481
PAX5	0.0979247610181
EPC2	0.0978933872755
IRF1	0.0978426136117
IL6	0.0978168865281
ADAM17	0.0977467527309
KRT5	0.0976988613266
CD79A	0.0976968834769
FLT3LG	0.0976461078591
PTGER2	0.0975467863729
MTCO2P12	0.0975227010757
MT-CO2	0.0975221594671
CD40LG	0.0975198892631
FOXM1	0.0973978594312
CEBPA	0.0972991899539
ZEB1	0.0969444652368
